Date,Open,High,Low,Close,Volume
02/07/2024,"121.02","121.48","119.38","119.43","3,007,775"
02/06/2024,"121.22","122.21","119.56","120.57","2,963,947"
02/05/2024,"121.90","123.80","120.27","121.21","3,007,509"
02/02/2024,"126.21","126.25","120.30","123.44","5,004,281"
02/01/2024,"130.25","133.77","122.30","126.96","7,838,002"
01/31/2024,"125.82","129.12","124.55","127.50","3,840,756"
01/30/2024,"128.00","129.48","125.82","126.36","2,317,501"
01/29/2024,"123.63","127.57","123.58","127.39","2,587,158"
01/26/2024,"127.28","127.54","123.05","123.46","2,857,925"
01/25/2024,"126.59","127.75","125.81","127.71","1,909,181"
01/24/2024,"127.22","127.23","124.93","125.49","1,485,959"
01/23/2024,"126.09","128.10","124.82","125.20","2,306,351"
01/22/2024,"127.74","128.27","125.92","126.74","2,197,525"
01/19/2024,"126.01","127.00","123.86","127.00","2,394,412"
01/18/2024,"123.79","126.61","122.56","125.28","2,867,954"
01/17/2024,"120.97","123.61","120.70","122.42","1,653,293"
01/16/2024,"119.93","123.69","119.27","122.80","1,888,654"
01/12/2024,"123.03","123.31","119.77","121.21","1,572,801"
01/11/2024,"123.55","123.61","121.29","123.42","1,329,227"
01/10/2024,"122.75","124.82","122.28","123.60","1,440,663"
01/09/2024,"122.55","124.21","122.35","123.57","1,347,623"
01/08/2024,"123.85","124.74","122.10","124.12","2,146,706"
01/05/2024,"118.56","123.11","118.50","122.65","2,773,900"
01/04/2024,"118.01","121.15","117.63","119.00","2,737,373"
01/03/2024,"117.60","119.18","115.96","117.45","3,638,454"
01/02/2024,"127.26","127.42","118.96","120.14","4,642,466"
